# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2    -0.00062     0.61661     0.00062   -1.414399507   -3.511122856   -2.096723349
     1       2    -0.15462    -0.46138    -0.15338    0.026306504   -1.900297855   -1.926604359
     1       2    -0.15462    -0.15338    -0.15338    2.501652554    0.882813527   -1.618839027
     1       2    -0.30862     0.00062    -0.30738    0.942283882   -0.871746064   -1.814029946
     1       2     0.15338    -0.46138     0.15462    0.026306004   -1.899800702   -1.926106705
     1       2    -0.00062    -0.30738     0.00062    2.954857317    1.358739775   -1.596117542
     1       2    -0.15462    -0.15338     0.15462    2.489504676    0.880981187   -1.608523490
     1       2    -0.30862     0.00062     0.00062    2.936669150    1.359423952   -1.577245198
     1       2    -0.46261     0.15462    -0.15338    0.017981428   -1.895868800   -1.913850228
     1       2    -0.00062    -0.30738     0.30862    0.942284553   -0.872633381   -1.814917934
     1       2    -0.00062     0.00062     0.30862    2.936669158    1.360345983   -1.576323175
     1       2    -0.15462     0.15462     0.15462    2.477362510    0.880599422   -1.596763089
     1       2    -0.30862     0.30862     0.00062    0.932978985   -0.868426235   -1.801405220
     1       2     0.15338    -0.15338     0.46261    0.023318704   -1.895538986   -1.918857690
     1       2     0.15338     0.15462     0.46261    0.017981834   -1.895086371   -1.913068205
     1       2    -0.00062     0.30862     0.30862    0.932979346   -0.867978871   -1.800958217
     1       2    -0.15462     0.46261     0.15462    0.012644639   -1.895471591   -1.908116230
     1       2     0.30738     0.00062     0.61661   -1.242491760   -3.324179010   -2.081687250
     1       2    -0.30862    -0.30738     0.00062    0.942284914   -0.873083614   -1.815368527
     1       2    -0.46261    -0.15338    -0.15338    0.023319105   -1.896366630   -1.919685735
     1       2    -0.61661     0.00062    -0.30738   -1.242491956   -3.327261815   -2.084769859
     1       2    -0.15462    -0.46138     0.15462    0.020902740   -1.901927330   -1.922830070
     1       2    -0.30862    -0.30738     0.30862   -0.604854079   -2.587252600   -1.982398521
     1       2    -0.46261    -0.15338     0.15462    0.017982879   -1.897455021   -1.915437899
     1       2    -0.61661     0.00062     0.00062   -1.414399510   -3.511091369   -2.096691859
     1       2     0.46138     0.15462    -0.15338    0.026307267   -1.897303894   -1.923611161
     1       2    -0.15462    -0.15338     0.46261    0.017982785   -1.897177904   -1.915160689
     1       2    -0.30862     0.00062     0.30862    0.932980003   -0.869899932   -1.802879935
     1       2    -0.46261     0.15462     0.15462    0.012644821   -1.896347620   -1.908992442
     1       2    -0.00062    -0.30738     0.61661   -1.242492132   -3.322354711   -2.079862579
     1       2    -0.00062     0.00062     0.61661   -1.414399510   -3.511012296   -2.096612786
     1       2    -0.15462     0.15462     0.46261    0.012644915   -1.896008654   -1.908653570
     1       2    -0.30862     0.30862     0.30862   -0.604785913   -2.586151515   -1.981365602
     1       2     0.15338    -0.15338    -0.46138    0.031710668   -1.897141754   -1.928852422
     1       2     0.15338     0.15462    -0.46138    0.026307172   -1.897629648   -1.923936820
     1       2    -0.61661    -0.30738     0.00062   -1.242492525   -3.322284050   -2.079791525
     1       2     0.46138    -0.15338    -0.15338    0.031710572   -1.896879716   -1.928590288
     1       2     0.30738     0.00062    -0.30738    0.951616063   -0.871488649   -1.823104711
     1       2     0.15338     0.15462    -0.15338    2.501653210    0.887432493   -1.614220717
     1       2    -0.00062     0.30862    -0.30738    0.942284543   -0.869823280   -1.812107822
     1       2     0.46138    -0.15338     0.15462    0.026305816   -1.898922898   -1.925228714
     1       2     0.30738     0.00062     0.00062    2.954857299    1.362296558   -1.592560741
     1       2     0.30738     0.30862     0.00062    0.942284907   -0.869258942   -1.811543849
     1       2     0.15338     0.46261    -0.15338    0.023319871   -1.893400067   -1.916719938
     1       2    -0.00062     0.61661    -0.30738   -1.242492694   -3.327284795   -2.084792101
     1       2     0.46138     0.15462     0.15462    0.020901968   -1.899054477   -1.919956445
     1       2    -0.15462    -0.15338    -0.46138    0.026306220   -1.899733709   -1.926039930
     1       2     0.30738     0.61661     0.00062   -1.242492890   -3.324123050   -2.081630159
     1       2     0.15338    -0.46138    -0.15338    0.031710385   -1.897674761   -1.929385147
     1       2    -0.00062    -0.30738    -0.30738    0.951615400   -0.873407030   -1.825022429
     1       2    -0.00062     0.00062    -0.30738    2.954857301    1.361551635   -1.593305665
     1       2    -0.15462     0.15462    -0.46138    0.020901564   -1.899823688   -1.920725252
     1       2     0.30738    -0.30738     0.00062    0.951615035   -0.872846624   -1.824461659
     1       2     0.15338    -0.15338    -0.15338    2.513808172    0.887000853   -1.626807320
     1       3    -0.00062     0.00062     0.00062    6.473527936    5.140020609   -1.333507327
     1       3    -0.15462     0.15462    -0.15338    5.691669879    4.344660973   -1.347008905
     1       3    -0.30862     0.30862    -0.30738    5.252635323    3.843554446   -1.409080878
     1       3     0.15338    -0.15338     0.15462    5.694034510    4.345082648   -1.348951861
     1       3     0.15338     0.15462     0.15462    5.691669809    4.345949769   -1.345720040
     1       3    -0.00062     0.30862     0.00062    4.535048196    3.114644562   -1.420403634
     1       3    -0.15462     0.46261    -0.15338    2.856250011    1.319757378   -1.536492633
     1       3     0.30738     0.00062     0.30862    2.631869156    1.073087707   -1.558781449
     1       3     0.30738     0.30862     0.30862    5.252635268    3.843557720   -1.409077548
     1       3     0.15338     0.46261     0.15462    2.856249642    1.319644071   -1.536605571
     1       3    -0.00062     0.61661     0.00062    3.560442207    2.013285109   -1.547157097
     1       3    -0.15462    -0.46138    -0.15338    2.867992268    1.322020030   -1.545972238
     1       3    -0.15462    -0.15338    -0.15338    5.694034327    4.346613854   -1.347420474
     1       3    -0.30862     0.00062    -0.30738    2.631869159    1.072577949   -1.559291210
     1       3     0.15338    -0.46138     0.15462    2.867992638    1.321837072   -1.546155566
     1       3    -0.00062    -0.30738     0.00062    4.542629634    3.115338262   -1.427291371
     1       3    -0.15462    -0.15338     0.15462    5.691669808    4.343947227   -1.347722581
     1       3    -0.30862     0.00062     0.00062    4.535047761    3.113329550   -1.421718211
     1       3    -0.46261     0.15462    -0.15338    2.856250684    1.317617068   -1.538633616
     1       3    -0.00062    -0.30738     0.30862    2.631869117    1.071931691   -1.559937426
     1       3    -0.00062     0.00062     0.30862    4.535047645    3.113779485   -1.421268160
     1       3    -0.15462     0.15462     0.15462    5.693669017    4.350099131   -1.343569887
     1       3    -0.30862     0.30862     0.00062    2.625230944    1.071172705   -1.554058239
     1       3     0.15338    -0.15338     0.46261    2.856105778    1.320276403   -1.535829375
     1       3     0.15338     0.15462     0.46261    2.856250600    1.318010637   -1.538239963
     1       3    -0.00062     0.30862     0.30862    2.625230860    1.071317373   -1.553913487
     1       3    -0.15462     0.46261     0.15462    2.856463717    1.316657093   -1.539806624
     1       3     0.30738     0.00062     0.61661    2.519267049    0.944312560   -1.574954489
     1       3    -0.30862    -0.30738     0.00062    2.631869040    1.071731299   -1.560137741
     1       3    -0.46261    -0.15338    -0.15338    2.856105687    1.319867935   -1.536237752
     1       3    -0.61661     0.00062    -0.30738    2.519266973    0.944820668   -1.574446305
     1       3    -0.15462    -0.46138     0.15462    2.868244797    1.319240751   -1.549004046
     1       3    -0.30862    -0.30738     0.30862    5.252635354    3.843547487   -1.409087867
     1       3    -0.46261    -0.15338     0.15462    2.856249621    1.317728350   -1.538521271
     1       3    -0.61661     0.00062     0.00062    3.560441811    2.013203410   -1.547238401
     1       3     0.46138     0.15462    -0.15338    2.867992242    1.323945452   -1.544046790
     1       3    -0.15462    -0.15338     0.46261    2.856249903    1.318232935   -1.538016968
     1       3    -0.30862     0.00062     0.30862    2.625230854    1.070161657   -1.555069196
     1       3    -0.46261     0.15462     0.15462    2.856463040    1.314331430   -1.542131610
     1       3    -0.00062    -0.30738     0.61661    2.519266813    0.944279093   -1.574987720
     1       3    -0.00062     0.00062     0.61661    3.560441739    2.013154957   -1.547286782
     1       3    -0.15462     0.15462     0.46261    2.856462760    1.314933763   -1.541528997
     1       3    -0.30862     0.30862     0.30862    5.252750632    3.845181665   -1.407568968
     1       3     0.15338    -0.15338    -0.46138    2.867809310    1.326917442   -1.540891868
     1       3     0.15338     0.15462    -0.46138    2.867992522    1.323457773   -1.544534750
     1       3    -0.61661    -0.30738     0.00062    2.519266663    0.944547922   -1.574718742
     1       3     0.46138    -0.15338    -0.15338    2.867809592    1.327320978   -1.540488614
     1       3     0.30738     0.00062    -0.30738    2.638515487    1.075908792   -1.562606694
     1       3     0.15338     0.15462    -0.15338    5.694033805    4.345571128   -1.348462677
     1       3    -0.00062     0.30862    -0.30738    2.631869125    1.073799055   -1.558070070
     1       3     0.46138    -0.15338     0.15462    2.867993309    1.324146154   -1.543847155
     1       3     0.30738     0.00062     0.00062    4.542629210    3.116551907   -1.426077303
     1       3     0.30738     0.30862     0.00062    2.631869046    1.074102679   -1.557766367
     1       3     0.15338     0.46261    -0.15338    2.856105675    1.321799014   -1.534306661
     1       3    -0.00062     0.61661    -0.30738    2.519266494    0.944706170   -1.574560324
     1       3     0.46138     0.15462     0.15462    2.868244812    1.321141551   -1.547103261
     1       3    -0.15462    -0.15338    -0.46138    2.867993222    1.323839414   -1.544153808
     1       3     0.30738     0.61661     0.00062    2.519266419    0.944518041   -1.574748378
     1       3     0.15338    -0.46138    -0.15338    2.867810272    1.325185259   -1.542625013
     1       3    -0.00062    -0.30738    -0.30738    2.638515500    1.074682113   -1.563833387
     1       3    -0.00062     0.00062    -0.30738    4.542629101    3.116315717   -1.426313384
     1       3    -0.15462     0.15462    -0.46138    2.868244904    1.320862390   -1.547382514
     1       3     0.30738    -0.30738     0.00062    2.638515588    1.075053843   -1.563461745
     1       3     0.15338    -0.15338    -0.15338    5.700522661    4.350091394   -1.350431267
