# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       6     0.15400    -0.46200     0.15400   10.918809308   10.737083047   -0.181726261
     1       6     0.00000    -0.30800     0.00000    9.576364596    9.381140322   -0.195224274
     1       6    -0.15400    -0.15400     0.15400    9.976911997    9.886177727   -0.090734270
     1       6    -0.30800     0.00000     0.00000    9.576364602    9.380361294   -0.196003308
     1       6    -0.46200     0.15400    -0.15400   10.918810672   10.735526426   -0.183284246
     1       6     0.00000    -0.30800     0.30800   11.284742680   11.325547853    0.040805173
     1       6     0.00000     0.00000     0.30800    9.576364576    9.380705199   -0.195659377
     1       6    -0.15400     0.15400     0.15400    9.976912116    9.882387009   -0.094525107
     1       6    -0.30800     0.30800     0.00000   11.284741766   11.322282738    0.037540972
     1       6     0.15400    -0.15400     0.46200   10.918809602   10.746215586   -0.172594016
     1       6     0.15400     0.15400     0.46200   10.918809980   10.734897700   -0.183912280
     1       6     0.00000     0.30800     0.30800   11.284741600   11.322109788    0.037368188
     1       6    -0.15400     0.46200     0.15400   10.918810383   10.730876449   -0.187933934
     1       6     0.30800     0.00000     0.61600   10.730355141   10.469012021   -0.261343120
     1       6    -0.30800    -0.30800     0.00000   11.284742528   11.325873727    0.041131199
     1       6    -0.46200    -0.15400    -0.15400   10.918808816   10.746605722   -0.172203094
     1       6    -0.61600     0.00000    -0.30800   10.730355415   10.468560653   -0.261794762
     1       6    -0.15400    -0.46200     0.15400   10.918810243   10.730514142   -0.188296101
     1       6    -0.30800    -0.30800     0.30800    9.785111025    9.693949748   -0.091161277
     1       6    -0.46200    -0.15400     0.15400   10.918810621   10.739358399   -0.179452222
     1       6    -0.61600     0.00000     0.00000    7.119476523    6.723388170   -0.396088353
     1       6     0.46200     0.15400    -0.15400   10.918810624   10.736219770   -0.182590854
     1       6    -0.15400    -0.15400     0.46200   10.918809919   10.739733914   -0.179076005
     1       6    -0.30800     0.00000     0.30800   11.284742178   11.323128651    0.038386473
     1       6    -0.46200     0.15400     0.15400   10.918808903   10.727992990   -0.190815913
     1       6     0.00000    -0.30800     0.61600   10.730355285   10.474427328   -0.255927957
     1       6     0.00000     0.00000     0.61600    7.119475900    6.723449415   -0.396026485
     1       6    -0.15400     0.15400     0.46200   10.918809670   10.728656263   -0.190153407
     1       6    -0.30800     0.30800     0.30800    9.785111201    9.693548027   -0.091563174
     1       6     0.15400    -0.15400    -0.46200   10.918809671   10.746964290   -0.171845381
     1       6     0.15400     0.15400    -0.46200   10.918809920   10.735308427   -0.183501493
     1       6    -0.61600    -0.30800     0.00000   10.730355288   10.470513605   -0.259841683
     1       6     0.46200    -0.15400    -0.15400   10.918808899   10.747548991   -0.171259908
     1       6     0.30800     0.00000    -0.30800   11.284742177   11.329354504    0.044612327
     1       6     0.15400     0.15400    -0.15400    9.976911995    9.883007479   -0.093904516
     1       6     0.00000     0.30800    -0.30800   11.284742680   11.323919992    0.039177312
     1       6     0.46200    -0.15400     0.15400   10.918810672   10.740042621   -0.178768051
     1       6     0.30800     0.00000     0.00000    9.576364601    9.382626714   -0.193737887
     1       6     0.30800     0.30800     0.00000   11.284742528   11.323767350    0.039024822
     1       6     0.15400     0.46200    -0.15400   10.918810245   10.744597797   -0.174212448
     1       6     0.00000     0.61600    -0.30800   10.730355417   10.476926589   -0.253428828
     1       6     0.46200     0.15400     0.15400   10.918808815   10.728544348   -0.190264467
     1       6    -0.15400    -0.15400    -0.46200   10.918809980   10.740221870   -0.178588110
     1       6     0.30800     0.61600     0.00000   10.730355141   10.476620406   -0.253734735
     1       6     0.15400    -0.46200    -0.15400   10.918810388   10.744705252   -0.174105136
     1       6     0.00000    -0.30800    -0.30800   11.284741601   11.330450500    0.045708899
     1       6     0.00000     0.00000    -0.30800    9.576364577    9.382370308   -0.193994269
     1       6    -0.15400     0.15400    -0.46200   10.918809600   10.728925624   -0.189883976
     1       6     0.30800    -0.30800     0.00000   11.284741766   11.330115323    0.045373557
     1       6     0.15400    -0.15400    -0.15400    9.976912117    9.886434094   -0.090478023
     1       7     0.00000     0.00000     0.00000    9.026315658    8.894414538   -0.131901120
     1       7    -0.15400     0.15400    -0.15400    9.976913758    9.880017438   -0.096896320
     1       7    -0.30800     0.30800    -0.30800    9.785113254    9.692937751   -0.092175503
     1       7     0.15400    -0.15400     0.15400    9.976913759    9.885806619   -0.091107140
     1       7     0.15400     0.15400     0.15400    9.976914220    9.878025773   -0.098888447
     1       7     0.00000     0.30800     0.00000   12.282728761   12.307957444    0.025228683
     1       7    -0.15400     0.46200    -0.15400   12.291590112   12.306326776    0.014736664
     1       7     0.30800     0.00000     0.30800   11.643280649   11.439214333   -0.204066316
     1       7     0.30800     0.30800     0.30800    9.785113607    9.692481398   -0.092632209
     1       7     0.15400     0.46200     0.15400   12.291590696   12.307088971    0.015498275
     1       7     0.00000     0.61600     0.00000   16.729006726   17.162728333    0.433721607
     1       7    -0.15400    -0.46200    -0.15400   12.291590697   12.321660852    0.030070155
     1       7    -0.15400    -0.15400    -0.15400    9.976914216    9.886991017   -0.089923199
     1       7    -0.30800     0.00000    -0.30800   11.643280648   11.439720110   -0.203560538
     1       7     0.15400    -0.46200     0.15400   12.291590116   12.322090815    0.030500699
     1       7     0.00000    -0.30800     0.00000   12.282728765   12.323575456    0.040846691
     1       7    -0.15400    -0.15400     0.15400    9.976912819    9.879449902   -0.097462917
     1       7    -0.30800     0.00000     0.00000   12.282728658   12.309658784    0.026930126
     1       7    -0.46200     0.15400    -0.15400   12.291591095   12.310156630    0.018565535
     1       7     0.00000    -0.30800     0.30800   11.643281380   11.440464569   -0.202816811
     1       7     0.00000     0.00000     0.30800   12.282728902   12.309846975    0.027118073
     1       7    -0.15400     0.15400     0.15400    9.976913691    9.880972636   -0.095941055
     1       7    -0.30800     0.30800     0.00000   11.643280925   11.432539666   -0.210741259
     1       7     0.15400    -0.15400     0.46200   12.291590544   12.300850061    0.009259517
     1       7     0.15400     0.15400     0.46200   12.291591140   12.310016398    0.018425258
     1       7     0.00000     0.30800     0.30800   11.643280702   11.432213173   -0.211067529
     1       7    -0.15400     0.46200     0.15400   12.291591351   12.312056418    0.020465067
     1       7     0.30800     0.00000     0.61600   11.516375292   11.545781619    0.029406327
     1       7    -0.30800    -0.30800     0.00000   11.643280982   11.440786544   -0.202494438
     1       7    -0.46200    -0.15400    -0.15400   12.291590569   12.301103414    0.009512845
     1       7    -0.61600     0.00000    -0.30800   11.516374979   11.545767813    0.029392834
     1       7    -0.15400    -0.46200     0.15400   12.291590412   12.325137413    0.033547001
     1       7    -0.30800    -0.30800     0.30800    9.785112078    9.693078805   -0.092033273
     1       7    -0.46200    -0.15400     0.15400   12.291590523   12.308137237    0.016546714
     1       7    -0.61600     0.00000     0.00000   16.729006682   17.162857282    0.433850600
     1       7     0.46200     0.15400    -0.15400   12.291590527   12.320496650    0.028906123
     1       7    -0.15400    -0.15400     0.46200   12.291589978   12.307257197    0.015667219
     1       7    -0.30800     0.00000     0.30800   11.643281281   11.433511906   -0.209769375
     1       7    -0.46200     0.15400     0.15400   12.291590394   12.315813635    0.024223241
     1       7     0.00000    -0.30800     0.61600   11.516375196   11.542949664    0.026574468
     1       7     0.00000     0.00000     0.61600   16.729006807   17.162682268    0.433675461
     1       7    -0.15400     0.15400     0.46200   12.291590909   12.315127358    0.023536449
     1       7    -0.30800     0.30800     0.30800    9.785113249    9.693452248   -0.091661001
     1       7     0.15400    -0.15400    -0.46200   12.291590909   12.313901317    0.022310408
     1       7     0.15400     0.15400    -0.46200   12.291589977   12.321279326    0.029689349
     1       7    -0.61600    -0.30800     0.00000   11.516375195   11.544451165    0.028075970
     1       7     0.46200    -0.15400    -0.15400   12.291590394   12.312897468    0.021307074
     1       7     0.30800     0.00000    -0.30800   11.643281281   11.444462792   -0.198818489
     1       7     0.15400     0.15400    -0.15400    9.976912819    9.886309050   -0.090603769
     1       7     0.00000     0.30800    -0.30800   11.643281381   11.438374728   -0.204906653
     1       7     0.46200    -0.15400     0.15400   12.291591097   12.318274634    0.026683537
     1       7     0.30800     0.00000     0.00000   12.282728658   12.320363991    0.037635333
     1       7     0.30800     0.30800     0.00000   11.643280983   11.438204396   -0.205076587
     1       7     0.15400     0.46200    -0.15400   12.291590409   12.299988429    0.008398020
     1       7     0.00000     0.61600    -0.30800   11.516374976   11.542691719    0.026316743
     1       7     0.46200     0.15400     0.15400   12.291590568   12.324028593    0.032438025
     1       7    -0.15400    -0.15400    -0.46200   12.291591138   12.318650554    0.027059416
     1       7     0.30800     0.61600     0.00000   11.516375291   11.542713257    0.026337966
     1       7     0.15400    -0.46200    -0.15400   12.291591357   12.316775353    0.025183996
     1       7     0.00000    -0.30800    -0.30800   11.643280701   11.445761810   -0.197518891
     1       7     0.00000     0.00000    -0.30800   12.282728902   12.321557401    0.038828499
     1       7    -0.15400     0.15400    -0.46200   12.291590543   12.324270115    0.032679572
     1       7     0.30800    -0.30800     0.00000   11.643280925   11.445578955   -0.197701970
     1       7     0.15400    -0.15400    -0.15400    9.976913691    9.887734693   -0.089178998
     1       8     0.00000     0.00000     0.00000   10.004356069    9.964661915   -0.039694154
     1       8    -0.15400     0.15400    -0.15400   13.515694533   13.555702317    0.040007784
     1       8    -0.30800     0.30800    -0.30800   14.194056139   14.035523570   -0.158532569
     1       8     0.15400    -0.15400     0.15400   13.515694533   13.565343116    0.049648583
     1       8     0.15400     0.15400     0.15400   13.515693854   13.555034499    0.039340645
     1       8     0.00000     0.30800     0.00000   12.282729493   12.306778570    0.024049077
     1       8    -0.15400     0.46200    -0.15400   12.419118276   12.476552035    0.057433759
     1       8     0.30800     0.00000     0.30800   12.689923936   12.737647215    0.047723279
     1       8     0.30800     0.30800     0.30800   14.194056828   14.035566773   -0.158490055
     1       8     0.15400     0.46200     0.15400   12.419119188   12.477248433    0.058129245
     1       8     0.00000     0.61600     0.00000   16.729007288   17.163280702    0.434273414
     1       8    -0.15400    -0.46200    -0.15400   12.419119185   12.486164418    0.067045233
     1       8    -0.15400    -0.15400    -0.15400   13.515693851   13.565903129    0.050209278
     1       8    -0.30800     0.00000    -0.30800   12.689923934   12.737958111    0.048034177
     1       8     0.15400    -0.46200     0.15400   12.419118279   12.486683809    0.067565530
     1       8     0.00000    -0.30800     0.00000   12.282729489   12.322578673    0.039849184
     1       8    -0.15400    -0.15400     0.15400   13.515695234   13.557878572    0.042183338
     1       8    -0.30800     0.00000     0.00000   12.282729546   12.310044722    0.027315176
     1       8    -0.46200     0.15400    -0.15400   12.419119294   12.479595921    0.060476627
     1       8     0.00000    -0.30800     0.30800   12.689923951   12.738261747    0.048337796
     1       8     0.00000     0.00000     0.30800   12.282729386   12.308814273    0.026084887
     1       8    -0.15400     0.15400     0.15400   13.515694225   13.547303018    0.031608793
     1       8    -0.30800     0.30800     0.00000   12.689924239   12.735314579    0.045390340
     1       8     0.15400    -0.15400     0.46200   12.419118297   12.475262892    0.056144595
     1       8     0.15400     0.15400     0.46200   12.419119749   12.479545568    0.060425819
     1       8     0.00000     0.30800     0.30800   12.689923961   12.735157824    0.045233863
     1       8    -0.15400     0.46200     0.15400   12.419119276   12.480662864    0.061543588
     1       8     0.30800     0.00000     0.61600   11.516376150   11.542710554    0.026334404
     1       8    -0.30800    -0.30800     0.00000   12.689923884   12.738513061    0.048589177
     1       8    -0.46200    -0.15400    -0.15400   12.419118806   12.475493325    0.056374519
     1       8    -0.61600     0.00000    -0.30800   11.516376640   11.543036486    0.026659846
     1       8    -0.15400    -0.46200     0.15400   12.419117934   12.490692134    0.071574200
     1       8    -0.30800    -0.30800     0.30800   14.194055653   14.035548344   -0.158507309
     1       8    -0.46200    -0.15400     0.15400   12.419118404   12.477726544    0.058608140
     1       8    -0.61600     0.00000     0.00000   16.729007237   17.163125743    0.434118506
     1       8     0.46200     0.15400    -0.15400   12.419118407   12.485617777    0.066499370
     1       8    -0.15400    -0.15400     0.46200   12.419117972   12.476993410    0.057875438
     1       8    -0.30800     0.00000     0.30800   12.689924208   12.735826067    0.045901859
     1       8    -0.46200     0.15400     0.15400   12.419118258   12.483750114    0.064631856
     1       8     0.00000    -0.30800     0.61600   11.516376444   11.545677210    0.029300766
     1       8     0.00000     0.00000     0.61600   16.729007319   17.163344036    0.434336717
     1       8    -0.15400     0.15400     0.46200   12.419118758   12.483002557    0.063883799
     1       8    -0.30800     0.30800     0.30800   14.194056515   14.034737320   -0.159319195
     1       8     0.15400    -0.15400    -0.46200   12.419118755   12.481406876    0.062288121
     1       8     0.15400     0.15400    -0.46200   12.419117973   12.486268578    0.067150605
     1       8    -0.61600    -0.30800     0.00000   11.516376445   11.544153518    0.027777073
     1       8     0.46200    -0.15400    -0.15400   12.419118258   12.480757466    0.061639208
     1       8     0.30800     0.00000    -0.30800   12.689924207   12.741861012    0.051936805
     1       8     0.15400     0.15400    -0.15400   13.515695232   13.563068545    0.047373313
     1       8     0.00000     0.30800    -0.30800   12.689923952   12.737215168    0.047291216
     1       8     0.46200    -0.15400     0.15400   12.419119287   12.483607917    0.064488630
     1       8     0.30800     0.00000     0.00000   12.282729545   12.320699853    0.037970308
     1       8     0.30800     0.30800     0.00000   12.689923882   12.737172188    0.047248306
     1       8     0.15400     0.46200    -0.15400   12.419117939   12.474929304    0.055811365
     1       8     0.00000     0.61600    -0.30800   11.516376637   11.546103937    0.029727300
     1       8     0.46200     0.15400     0.15400   12.419118804   12.490226915    0.071108111
     1       8    -0.15400    -0.15400    -0.46200   12.419119746   12.483753787    0.064634041
     1       8     0.30800     0.61600     0.00000   11.516376156   11.545792217    0.029416061
     1       8     0.15400    -0.46200    -0.15400   12.419119284   12.483784802    0.064665518
     1       8     0.00000    -0.30800    -0.30800   12.689923966   12.742540771    0.052616805
     1       8     0.00000     0.00000    -0.30800   12.282729388   12.320687431    0.037958043
     1       8    -0.15400     0.15400    -0.46200   12.419118299   12.490179995    0.071061696
     1       8     0.30800    -0.30800     0.00000   12.689924238   12.742387734    0.052463496
     1       8     0.15400    -0.15400    -0.15400   13.515694223   13.572395879    0.056701656
